// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 24 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\sodragon\source\repos\LRUBlobCache\LRUBlockCacheBenchmarks\bin\Release\net6.0\b3dcd108-0ffd-4ff8-8182-cbe8a9bb5c47
// command took 1.11s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\sodragon\source\repos\LRUBlobCache\LRUBlockCacheBenchmarks\bin\Release\net6.0\b3dcd108-0ffd-4ff8-8182-cbe8a9bb5c47
// command took 2.21s and exited with 0
// ***** Done, took 00:00:03 (3.42 sec)   *****
// Found 24 benchmarks:
//   LRUCacheBenchmark.Add: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1]
//   LRUCacheBenchmark.AddDoubleThanCapacity: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1]
//   LRUCacheBenchmark.Remove: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1]
//   LRUCacheBenchmark.TryGet: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1]
//   LRUCacheBenchmark.Add: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=100]
//   LRUCacheBenchmark.AddDoubleThanCapacity: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=100]
//   LRUCacheBenchmark.Remove: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=100]
//   LRUCacheBenchmark.TryGet: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=100]
//   LRUCacheBenchmark.Add: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1000]
//   LRUCacheBenchmark.AddDoubleThanCapacity: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1000]
//   LRUCacheBenchmark.Remove: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1000]
//   LRUCacheBenchmark.TryGet: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1000]
//   LRUCacheBenchmark.Add: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=10000]
//   LRUCacheBenchmark.AddDoubleThanCapacity: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=10000]
//   LRUCacheBenchmark.Remove: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=10000]
//   LRUCacheBenchmark.TryGet: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=10000]
//   LRUCacheBenchmark.Add: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=100000]
//   LRUCacheBenchmark.AddDoubleThanCapacity: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=100000]
//   LRUCacheBenchmark.Remove: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=100000]
//   LRUCacheBenchmark.TryGet: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=100000]
//   LRUCacheBenchmark.Add: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1000000]
//   LRUCacheBenchmark.AddDoubleThanCapacity: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1000000]
//   LRUCacheBenchmark.Remove: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1000000]
//   LRUCacheBenchmark.TryGet: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1000000]

// **************************
// Benchmark: LRUCacheBenchmark.Add: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b3dcd108-0ffd-4ff8-8182-cbe8a9bb5c47.dll" --benchmarkName "BMCollectionsBenchmarks.LRUCacheBenchmark.Add(N: 1)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in C:\Users\sodragon\source\repos\LRUBlobCache\LRUBlockCacheBenchmarks\bin\Release\net6.0\b3dcd108-0ffd-4ff8-8182-cbe8a9bb5c47\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.1 (6.0.121.56705), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-RMLOCG(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 168300.00 ns, 168.3000 us/op
WorkloadActual  47: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  48: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  49: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  50: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  51: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  52: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadActual  53: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadActual  54: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  55: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  56: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  57: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  58: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  59: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  60: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  61: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  62: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadActual  63: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadActual  64: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  65: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  66: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  67: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  68: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  69: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual  70: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  71: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  72: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  73: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  74: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  75: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  76: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadActual  77: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  78: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  79: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  80: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  81: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  82: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  83: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  84: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  85: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  86: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  87: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  88: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  89: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  90: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  91: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  92: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadActual  93: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  94: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadActual  95: 1 op, 3700.00 ns, 3.7000 us/op
WorkloadActual  96: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  97: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  98: 1 op, 4000.00 ns, 4.0000 us/op
WorkloadActual  99: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  100: 1 op, 3000.00 ns, 3.0000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult   2: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult   3: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult   4: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult   5: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult   6: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult   7: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult   8: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult   9: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  10: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  11: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  12: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  13: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  14: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  15: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  16: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  17: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  18: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  19: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  20: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  21: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadResult  22: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  23: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  24: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  25: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  26: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  27: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  28: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  29: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  30: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  31: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  32: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  33: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  34: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  35: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  36: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  37: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  38: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  39: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  40: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  41: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  42: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  43: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  44: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadResult  45: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  46: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  47: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  48: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  49: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  50: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  51: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  52: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  53: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  54: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  55: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  56: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  57: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  58: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  59: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  60: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  61: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  62: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  63: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  64: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  65: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  66: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  67: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  68: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  69: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  70: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  71: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  72: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  73: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  74: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  75: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  76: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  77: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  78: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  79: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  80: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  81: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  82: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  83: 1 op, 2900.00 ns, 2.9000 us/op

// AfterAll
// Benchmark Process 39824 has exited with code 0.

Mean = 2.918 μs, StdErr = 0.018 μs (0.62%), N = 83, StdDev = 0.165 μs
Min = 1.700 μs, Q1 = 2.900 μs, Median = 2.900 μs, Q3 = 3.000 μs, Max = 3.200 μs
IQR = 0.100 μs, LowerFence = 2.750 μs, UpperFence = 3.150 μs
ConfidenceInterval = [2.856 μs; 2.980 μs] (CI 99.9%), Margin = 0.062 μs (2.11% of Mean)
Skewness = -4.76, Kurtosis = 36.42, MValue = 2

// **************************
// Benchmark: LRUCacheBenchmark.AddDoubleThanCapacity: Job-RWCLXD(InvocationCount=1, UnrollFactor=1) [N=1]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b3dcd108-0ffd-4ff8-8182-cbe8a9bb5c47.dll" --benchmarkName "BMCollectionsBenchmarks.LRUCacheBenchmark.AddDoubleThanCapacity(N: 1)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 1 in C:\Users\sodragon\source\repos\LRUBlobCache\LRUBlockCacheBenchmarks\bin\Release\net6.0\b3dcd108-0ffd-4ff8-8182-cbe8a9bb5c47\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.1 (6.0.121.56705), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-WYWWAO(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 188100.00 ns, 188.1000 us/op
WorkloadJitting  1: 1 op, 334500.00 ns, 334.5000 us/op

OverheadWarmup   1: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   2: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   5: 1 op, 100.00 ns, 100.0000 ns/op

OverheadActual   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   2: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   6: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   7: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   8: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   9: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  10: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  11: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  12: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  13: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  14: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  15: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  16: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  17: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  18: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  19: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  20: 1 op, 100.00 ns, 100.0000 ns/op

WorkloadWarmup   1: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadWarmup   2: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadWarmup   3: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadWarmup   4: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadWarmup   5: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadWarmup   6: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadWarmup   7: 1 op, 3500.00 ns, 3.5000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadActual   2: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadActual   3: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadActual   4: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadActual   5: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadActual   6: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadActual   7: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadActual   8: 1 op, 4200.00 ns, 4.2000 us/op
